WriteCount,ReadCount,Benchmark,InsertTime(µs),Read/DeleteTime(µs)
1000,1000,UniformScan,720.661,11894.7
1000,1000,ZipfianDelete,955.269,371.673
1000,1000,UniformDelete,826.865,722.122
1000,1000,Zipfian,1159.56,305.417
1000,1000,Uniform,2682.2,270.601
1000,1000,RevSequential,1069.41,167.141
1000,1000,Sequential,649.1,2008.99
1000,5000,UniformScan,7271.8,71685.7
1000,5000,ZipfianDelete,958.038,2377.32
1000,5000,UniformDelete,614.39,2903.79
1000,5000,Zipfian,905.517,1929.42
1000,5000,Uniform,1049.31,1574.28
1000,5000,RevSequential,619.718,866.592
1000,5000,Sequential,787.984,464.908
1000,10000,UniformScan,857.843,80997.8
1000,10000,ZipfianDelete,582.94,3088.22
1000,10000,UniformDelete,606.141,2656.52
1000,10000,Zipfian,882.734,2583.61
1000,10000,Uniform,1585.94,10786.4
1000,10000,RevSequential,1130.34,2932.93
1000,10000,Sequential,1746.45,7223.92
5000,1000,UniformScan,6688.12,17320.1
5000,1000,ZipfianDelete,4517.63,421.688
5000,1000,UniformDelete,3479.08,1004.02
5000,1000,Zipfian,5238.38,679.246
5000,1000,Uniform,4899.44,276.975
5000,1000,RevSequential,3401.86,159.147
5000,1000,Sequential,15272.1,274.116
5000,5000,UniformScan,4382.22,108099
5000,5000,ZipfianDelete,3223.41,6626.86
5000,5000,UniformDelete,4356.28,7356.31
5000,5000,Zipfian,10194.9,3046.01
5000,5000,Uniform,5736.1,2344.36
5000,5000,RevSequential,3812.73,3211.77
5000,5000,Sequential,4444.45,1132.1
5000,10000,UniformScan,11889.4,170347
5000,10000,ZipfianDelete,2977.54,4033.97
5000,10000,UniformDelete,4682.44,5920.83
5000,10000,Zipfian,4986.42,5542.07
5000,10000,Uniform,5429.42,3072.34
5000,10000,RevSequential,5326.46,2198.29
5000,10000,Sequential,9305.69,2318.17
10000,1000,UniformScan,9935.73,20399
10000,1000,ZipfianDelete,10451.1,484.791
10000,1000,UniformDelete,10977.8,704.409
10000,1000,Zipfian,21357.1,292.838
10000,1000,Uniform,10395.1,458.35
10000,1000,RevSequential,14134.4,232.593
10000,1000,Sequential,12288.5,165.556
10000,5000,UniformScan,22369.7,73102.8
10000,5000,ZipfianDelete,6247.94,2453.68
10000,5000,UniformDelete,7925.18,2553.65
10000,5000,Zipfian,14282.7,2277.75
10000,5000,Uniform,20554.3,2508.26
10000,5000,RevSequential,8479.71,878.77
10000,5000,Sequential,24599.8,1292.83
10000,10000,UniformScan,32805,146139
10000,10000,ZipfianDelete,6824.22,22626.2
10000,10000,UniformDelete,8945.1,10092.8
10000,10000,Zipfian,12137,3403.89
10000,10000,Uniform,21872.1,3730.48
10000,10000,RevSequential,21212.7,4141.92
10000,10000,Sequential,18160.9,2335.35
